title,author,cover_url,publish_date,language,subjects
cecile b. evans: 1770-25k,cecile b. evans,https://openlibrary.org/images/icons/avatar_book-sm.png,2020,english,"exhibitions, video art, art, awards"
the hattendorf prize lectures,"evan wilson, naval war college (u.s.). press",https://openlibrary.org/images/icons/avatar_book-sm.png,2020,english,"awards, naval history, lectures and lecturing, naval war college (u.s.), john b. hattendorf, united states"
marc bauer: the blow-up regime,marc bauer,https://openlibrary.org/images/icons/avatar_book-sm.png,2020,"german,english","exhibitions, german art, awards, marc bauer (1975-), germany, berlin"
vom zimmermann-debakel zum stockhausen-skandal: archivstudie nach aktenlage über den großen musikpreis von nordrhein-westfalen 1953-1968 in verbindung mit einem stück autobiographie,helmut kirchmeyer,https://openlibrary.org/images/icons/avatar_book-sm.png,2020,german,"music, history, awards, music, history and criticism, germany, north rhine-westphalia"
juli zeh: heinrich-böll-preis der stadt köln 2019,"gabriele lieselotte ewenz, stadtbibliothek köln",https://openlibrary.org/images/icons/avatar_book-sm.png,2020,german,"german literature, history and criticism, german authors, biography, award winners, literary prizes, history, awards, appreciation, criticism and interpretation, juli zeh (1974-), germany, cologne, 21st century"
"premio ""alonso cano"" de la universidad de granada a la creación artistíca para estudiantes universitarios",antonio collados alcaide,https://openlibrary.org/images/icons/avatar_book-sm.png,2020,spanish,"spanish art, exhibitions, students, art, awards, universidad de granada, spain, granada, 21st century"
de best verzorgde boeken 2019 = the best dutch book designs 2019,amsterdam (netherlands). stedelijk museu...,https://openlibrary.org/images/icons/avatar_book-sm.png,2020,"english,dutch","book design, awards, catalogs, netherlands"
seepage/ritual: the abraaj group art prize 2017,omar berrada,https://openlibrary.org/images/icons/avatar_book-sm.png,2020,"english,arabic","art, exhibitions, awards"
norbert scheuer trifft wilhelm raabe: der wilhelm raabe-literaturpreis 2019,hubert winkels,https://openlibrary.org/images/icons/avatar_book-sm.png,2020,german,"criticism and interpretation, german literature, history and criticism, wilhelm raabe-literaturpreis, literary prizes, awards, appreciation, norbert scheuer (1951-), 20th century, 21st centruy"
bauernkriegspanorama,kathrin röggla,https://openlibrary.org/images/icons/avatar_book-sm.png,2020,german,"criticism and interpretation, social problems, history, social media, radicalism, german literature, history and criticism, awards, röggla kathrin, 21st century"
cyberarts 2019,"hannes leopoldseder, christine schöpf, gerfried stocker",https://covers.openlibrary.org/b/id/13794701-M.jpg,2019,english,"computer art, awards, computer animation, technology and the arts"
the coretta scott king awards: 50th anniversary,"carole j. mccollough, adelaide poniatowski phelps",https://covers.openlibrary.org/b/id/10837117-M.jpg,"Jun 03, 2019",english,"american literature, african american authors, bibliography, children's literature, bibliography, african americans in literature, children, books and reading, coretta scott king award, american literature, bibliography, african american authors, awards, children's literature, american, african americans in literature, children, books and reading"
complex management systems and the shingo model: foundations of operational excellence and supporting tools,gerhard j. plenert,https://openlibrary.org/images/icons/avatar_book-sm.png,2019,english,"production management, lean manufacturing, manufacturing industries, awards, production, gestion, production allégée, industrie manufacturière, prix et récompenses, business & economics, industrial management, management, management science, organizational behavior, general, quality control, industries, manufacturing industries"
not just your face honey,"stefanie moshammer, andreas prinzing",https://covers.openlibrary.org/b/id/13909182-M.jpg,2019,english,"exhibitions, artistic photography, pictorial works, photography, awards"
of african objects in western museums: award of the gerda henkel prize 2018 = über afrikanische objekte in westlichen museen : verleihung des gerda henkel preises 2018,achille mbembe,https://openlibrary.org/images/icons/avatar_book-sm.png,2019,german,"african art objects, museums, collection management, museum techniques, art, history, awards, achille mbembe (1957-)"
"marler medienkunst-preise 2018: klangkunst, videokunst","georg elben, sarah-kristin happersberger, irene horn, isabel hufschmidt",https://openlibrary.org/images/icons/avatar_book-sm.png,2019,german,"new media art, exhibitions, video art, sound installations (art), modern art, art, awards, germany, 21st century"
25 jahre wolfgang-hahn-preis: aus dem archiv 1994-2019 = 25 years wolfgang hahn prize : from the archives 1994-2019,carla cugini,https://openlibrary.org/images/icons/avatar_book-sm.png,2019,"german,english","art, exhibitions, awards, modern art, gesellschaft für moderne kunst am museum ludwig, germany"
60o premio internazionale bugatti segantini,nomos edizioni,https://openlibrary.org/images/icons/avatar_book-sm.png,2019,italian,"italian art, exhibitions, art, awards, premio bugatti segantini, italy, monza brianza (province), 20th century, 21st century"
nihon no shōjiten: 2012-2019,nichigai asoshiētsu,https://openlibrary.org/images/icons/avatar_book-sm.png,2019,japanese,"awards, handbooks, manuals, history, japan, 21st century"
de best verzorgde boeken 2018: the best dutch book designs,gert jan slagter,https://openlibrary.org/images/icons/avatar_book-sm.png,2019,english,"book design, awards, netherlands"
bauherrenpreis '19,albert kirchengast,https://openlibrary.org/images/icons/avatar_book-sm.png,2019,german,"bauherrenpreis der zentralvereinigung der architektinnen und architekten österreichs, exhibitions, architecture, awards, architects and builders, history, competitions, modern architecture, austria, 21st century"
deutscher innenarchitektur preis 2019,bund deutscher innenarchitekten,https://openlibrary.org/images/icons/avatar_book-sm.png,2019,german,"interior architecture, awards, architects, designs and plans, history, germany, 21st century"
die geschichte des internationalen karlspreises der stadt aachen: kurt pfeiffer und das karlspreisdirektorium in der prägenden phase von 1949 bis 1960,christian bremen,https://openlibrary.org/images/icons/avatar_book-sm.png,2019,german,"karlspreis, history, awards, european federation, germany, aachen"
"joyful architecture: architekturbild, european architectural photography prize 2019","christina gräwe, harald link",https://openlibrary.org/images/icons/avatar_book-sm.png,2019,german,"architectural photography, exhibitions, european architectural photography prize, awards, europe"
landwirtschaftliches zentrum st. gallen in salez,andy senn,https://openlibrary.org/images/icons/avatar_book-sm.png,2019,german,"swiss architecture, architecture, awards, schools, history, buildings, structures, architecture suisse, prix et récompenses, écoles, histoire, andy senn architekt (saint gall, switzerland), andy senn (1965-), switzerland, saint gall, saint gall (switzerland), suisse, saint-gall, 21st century, 21e siècle"
hon'yaku no shōjiten: a reference guide to awards and prizes for translation,nichigai asoshiētsu,https://openlibrary.org/images/icons/avatar_book-sm.png,2019,japanese,"translating and interpreting, handbooks, manuals, awards, hon'yaku-benran, hyōshō-benran, bungakushō, japan"
"marta-preis der wemhöner stiftung, 2014-2018: marta award by the wemhöner foundation, 2014-2018",roland nachtigäller,https://openlibrary.org/images/icons/avatar_book-sm.png,2019,"german,english","german art, art, awards, wemhöner stiftung (herford, germany), germany, herford, 21st century"
architectures on the waterfront,"ivan blasi, anna sala giralt",https://openlibrary.org/images/icons/avatar_book-sm.png,2019,english,"waterfronts, exhibitions, city planning, mies van der rohe pavilion award for european architecture, architecture, awards, europe"
"dpic, architecture, art and image - utopia 500: dpic, arquitetura, arte e imagem - utopia 500","pedro leão neto, fátima vieira",https://openlibrary.org/images/icons/avatar_book-sm.png,2019,portuguese,"visionary architecture, space (architecture), utopias, architecture, awards, competitions, portugal, porto"
periodismo cultural: veinte años de historia,"julieta carabaza, sergio humberto arévalo aguirre, brenda margarita macías sánchez, elsa lucía tamez aguirre",https://openlibrary.org/images/icons/avatar_book-sm.png,2019,spanish,"journalism, awards, journalists, premio estatal de periodismo cultural armando fuentes aguirre, mexico, coahuila (state)"
